ID,小区名称,户型,面积,区域,楼层,朝向,价格（W）,单价（平方米）,建筑时间
4805,共富三村,3室2厅,111.3,宝山,高区/6层,朝南北,485,43575,2001年建
4806,长征新村,2室1厅,67.62,宝山,中区/5层,朝南北,280,41407,1985年建
4807,共富一村,1室2厅,60.01,宝山,高区/6层,朝南,270,44992,1997年建
4808,共江小区,2室1厅,68.89,宝山,高区/6层,朝南北,380,55160,1997年建
4809,殷高小区,2室1厅,60.56,宝山,高区/6层,朝南,400,66050,1994年建
4810,好家园,2室2厅,90.75,宝山,低区/6层,朝南北,550,60606,2009年建
4811,共富二村,3室2厅,138.63,宝山,中区/11层,朝东,580,41837,2006年建
4812,文华苑（宝山）,3室2厅,114.51,宝山,高区/6层,朝南,650,56763,1999年建
4813,共富一村,3室1厅,89.17,宝山,高区/6层,朝南,365,40933,1997年建
4814,共富一村,2室2厅,93.56,宝山,高区/6层,朝南北,395,42218,1996年建
4815,铂金华府,3室2厅,133.87,宝山,低区/17层,朝南北,960,71711,
4816,大华一村,2室1厅,71.74,宝山,高区/6层,朝南,362,50459,1995年建
4817,大华一村,2室2厅,81.38,宝山,高区/6层,朝南,460,56524,1995年建
4818,九英里,2室2厅,98.76,宝山,中区/12层,朝南北,600,60753,2007年建
4819,三花现代城,2室2厅,94.43,宝山,低区/24层,朝南北,630,66716,2013年建
4820,呼玛二村,2室1厅,56.84,宝山,高区/6层,朝南,270,47501,1992年建
4821,通河八村,3室1厅,94.33,宝山,中区/6层,朝南,495,52475,1996年建
4822,古北菊翔苑（菊联路233弄）,2室2厅,73.14,宝山,中区/6层,朝南北,380,51955,2008年建
4823,东方丽都,3室2厅,145.21,宝山,中区/11层,朝南北,610,42008,2006年建
4824,古北菊翔苑（菊联路233弄）,2室1厅,73.14,宝山,中区/6层,朝南,360,49220,2008年建
4825,共康五村,1室1厅,52.98,宝山,高区/6层,朝南,286,53982,1997年建
4826,殷高小区,2室1厅,82.74,宝山,高区/6层,朝南,435,52574,1993年建
4827,古北菊翔苑（菊联路233弄）,1室1厅,50.93,宝山,中区/6层,朝南北,285,55959,2008年建
4828,长江路68弄,2室1厅,60.15,宝山,中区/7层,朝南北,250,41562,1995年建
4829,文华苑（宝山）,4室2厅,131.3,宝山,低区/11层,朝南北,730,55597,2000年建
4830,海滨七村,2室1厅,57.84,宝山,高区/6层,朝南,265,45816,1986年建
4831,锦华苑,2室2厅,90.9,宝山,高区/6层,朝南北,545,59955,1999年建
4832,四季绿城,2室2厅,87.33,宝山,低区/6层,朝南北,530,60689,2008年建
4833,共富四村,2室2厅,100.83,宝山,低区/6层,朝南北,470,46613,
4834,宝钢九村,2室1厅,73.33,宝山,高区/6层,朝南北,340,46365,1995年建
4835,杨泰三村,2室1厅,74.86,宝山,高区/6层,朝南,280,37403,1995年建
4836,吉浦路615弄,2室1厅,62.05,宝山,高区/6层,朝南,340,54794,1996年建
4837,大华二村,3室1厅,83.77,宝山,高区/6层,朝南北,460,54912,1995年建
4838,共富二村,3室1厅,94.19,宝山,低区/6层,朝南北,370,39282,2004年建
4839,菊泉新城（菊盛路50弄）,2室2厅,81.66,宝山,高区/14层,朝东西,360,44085,2005年建
4840,淞滨路70弄,2室1厅,55.99,宝山,高区/6层,朝南北,240,42864,1993年建
4841,慧华东苑,2室2厅,81.89,宝山,低区/6层,朝南北,390,47624,2011年建
4842,古北菊翔苑（菊联路232弄）,2室2厅,74.64,宝山,低区/8层,朝南北,320,42872,2008年建
4843,长江路68弄,2室1厅,59.97,宝山,高区/7层,朝南北,280,46690,1995年建
4844,海滨七村,2室1厅,57.4,宝山,高区/6层,朝南北,258,44947,1987年建
4845,共康五村,1室1厅,54.89,宝山,高区/6层,朝南北,275,50100,1997年建
4846,共富一村,2室1厅,82.77,宝山,高区/6层,朝南,345,41681,1999年建
4847,美兰湖颐景园,3室2厅,126.83,宝山,中区/5层,朝南北,510,40211,2007年建
4848,中环1号（五期）,2室1厅,70.86,宝山,高区/18层,朝南,448,63223,2013年建
4849,罗南二村,2室1厅,69.63,宝山,低区/6层,朝南,265,38058,1996年建
4850,文华苑（宝山）,4室2厅,119.13,宝山,低区/6层,朝南,650,54562,1999年建
4851,吉浦路615弄,1室1厅,46.18,宝山,高区/6层,朝南,235,50887,1992年建
4852,共康五村,2室2厅,95.42,宝山,高区/6层,朝南北,490,51351,1994年建
4853,淞滨路765弄,3室1厅,95.99,宝山,中区/6层,朝南北,415,43233,1997年建
4854,大华二村,2室1厅,72.66,宝山,高区/6层,朝南,375,51610,1996年建
4855,民悦苑,5室2厅,178.01,宝山,中区/6层,朝南北,790,44379,
4856,华鹏花苑,2室1厅,85.54,宝山,高区/6层,朝南,430,50268,1997年建
4857,高境二村,2室2厅,92.81,宝山,高区/6层,朝南,465,50102,
4858,富锦路1659弄,3室1厅,88.48,宝山,中区/6层,,320,36166,1999年建
4859,杨泰三村,3室1厅,98.27,宝山,高区/6层,,320,32563,1994年建
4860,同济路1111弄,2室1厅,73.33,宝山,高区/6层,朝南北,310,42274,
4861,复星新苑,3室2厅,107.77,宝山,高区/6层,朝南北,630,58457,2000年建
4862,淞浦苑,3室2厅,147.72,宝山,高区/11层,朝南北,630,42648,
4863,海滨三村,2室1厅,50.97,宝山,高区/5层,朝南北,210,41200,1980年建
4864,锦华苑,3室2厅,130.38,宝山,低区/6层,朝南北,720,55223,1999年建
4865,菊泉新城（菊盛路50弄）,1室1厅,61.99,宝山,高区/5层,朝南,290,46781,2005年建
4866,复星花园（行知路569弄）,3室2厅,122.79,宝山,低区/6层,朝南北,610,49678,1997年建
4867,复星新苑,3室2厅,120.35,宝山,中区/6层,朝南北,700,58163,2000年建
4868,大华二村,2室1厅,63.91,宝山,高区/6层,朝南北,360,56329,1996年建
4869,大华二村,2室1厅,63.39,宝山,高区/6层,朝南北,360,56791,1995年建
4870,星福家园,3室2厅,129.11,宝山,低区/11层,朝南北,535,41437,
4871,共康路400弄,3室2厅,93.89,宝山,高区/7层,朝南,430,45798,1999年建
4872,星福家园,3室2厅,129.11,宝山,中区/11层,朝南,600,46472,2005年建
4873,环镇北路400弄,3室1厅,87.23,宝山,高区/6层,朝南北,365,41843,1995年建
4874,卓越时代广场,2室1厅,62.97,宝山,高区/19层,朝北,260,41289,
4875,海尚明城,1室2厅,63.2,宝山,低区/18层,朝南,280,44303,2008年建
4876,三花现代城,2室2厅,88.47,宝山,高区/16层,朝南北,620,70080,2009年建
4877,泗塘八村,2室1厅,60.19,宝山,高区/6层,朝南,265,44027,1995年建
4878,中环1号（一期）,2室2厅,98.24,宝山,中区/14层,朝南北,585,59548,2009年建
4879,水岸蓝桥（公寓）,3室2厅,132.09,宝山,低区/13层,朝南北,820,62078,
4880,杨泰二村,2室1厅,70.22,宝山,中区/6层,朝南,275,39162,1997年建
4881,荣域飘鹰锦和花园（公寓）,4室2厅,144.2,宝山,低区/18层,朝,760,52704,2011年建
4882,淞南一村,2室1厅,59.62,宝山,中区/6层,朝南,275,46125,1994年建
4883,德都路165弄,2室0厅,43.35,宝山,中区/6层,朝南,170,39215,1998年建
4884,四季绿城,2室2厅,87.27,宝山,高区/6层,朝南北,507,58095,2006年建
4885,泰和新城,1室1厅,47.24,宝山,低区/6层,朝南,220,46570,
4886,三花现代城,2室2厅,89.21,宝山,低区/17层,朝南北,600,67257,2010年建
4887,泗塘七村,2室1厅,62.83,宝山,低区/6层,朝南北,295,46952,1995年建
4888,三花现代城,2室2厅,88.33,宝山,低区/19层,朝南,550,62266,2007年建
4889,宝林八村,2室0厅,59.45,宝山,低区/6层,朝南,290,48780,1993年建
4890,万临家园,3室2厅,134.5,宝山,高区/14层,朝南北,690,51301,2006年建
4891,成亿宝盛家苑,3室2厅,93.02,宝山,低区/6层,朝南北,375,40313,2006年建
4892,三花现代城,2室2厅,96.39,宝山,中区/15层,朝南,635,65878,2007年建
4893,水岸蓝桥（公寓）,3室2厅,141.61,宝山,高区/14层,朝南,900,63554,
4894,阳光迪金阁,2室2厅,93.11,宝山,中区/13层,朝南北,365,39200,2011年建
4895,聚丰景都,1室2厅,70.06,宝山,低区/10层,朝南北,360,51384,2010年建
4896,康桥水都（公寓）,2室2厅,86.42,宝山,低区/4层,,400,46285,2005年建
4897,新天地荻泾花园,3室2厅,128.44,宝山,高区/9层,朝南北,570,44378,2010年建
4898,锦龙苑,2室1厅,62.58,宝山,中区/6层,朝南,295,47139,1995年建
4899,嘉骏花苑,4室2厅,68.54,宝山,高区/6层,朝南北,475,69302,2004年建
4900,祁连一村,2室2厅,72.08,宝山,中区/6层,朝南北,320,44395,1998年建
4901,富浩花园,3室2厅,115.37,宝山,低区/6层,朝南,480,41605,2002年建
4902,永清二村,2室1厅,57.08,宝山,高区/6层,朝南北,245,42922,1993年建
4903,祁连一村,2室1厅,73.45,宝山,高区/6层,朝南,312,42477,1998年建
4904,通河六村,2室2厅,77.56,宝山,中区/7层,朝南北,400,51572,1994年建
4905,宝山八村,2室1厅,91.82,宝山,低区/28层,朝南北,398,43345,1998年建
4906,宝林二村,2室1厅,65,宝山,中区/6层,朝南,315,48461,1990年建
4907,富浩花园,3室2厅,105.54,宝山,低区/6层,朝南北,470,44532,2002年建
4908,共和一村,1室1厅,38.05,宝山,中区/6层,朝南,215,56504,1995年建
4909,泗塘五村,2室0厅,48.01,宝山,中区/6层,朝南北,210,43740,1995年建
4910,宝山六村,2室1厅,75.66,宝山,高区/6层,朝南,415,54850,2005年建
4911,上大聚丰园,2室2厅,92.69,宝山,高区/6层,朝南北,460,49627,2005年建
4912,逸仙二村,2室1厅,56.98,宝山,低区/6层,朝南北,320,56160,1995年建
4913,宝山八村,2室1厅,89.99,宝山,低区/28层,朝南,420,46671,1998年建
4914,香逸湾,3室2厅,88.65,宝山,中区/11层,朝南北,405,45685,2009年建
4915,呼玛三村,3室2厅,124.32,宝山,低区/6层,朝南,605,48664,2002年建
4916,锦龙苑,3室2厅,104.71,宝山,中区/6层,朝南北,495,47273,2000年建
4917,泰和新城,1室1厅,50.71,宝山,低区/6层,朝南北,235,46341,
4918,水岸蓝桥（公寓）,1室2厅,73.43,宝山,中区/17层,朝南,508,69181,
4919,嘉骏花苑,3室2厅,102.76,宝山,低区/6层,朝南北,580,56442,2002年建
4920,和欣国际花园,2室2厅,74.05,宝山,低区/18层,朝南,550,74274,2009年建
4921,呼玛一村,2室1厅,55.9,宝山,中区/5层,朝南北,270,48300,1994年建
4922,菊泉新城（菊泉街39弄）,2室1厅,75.74,宝山,低区/11层,朝南北,320,42249,2005年建
4923,万临家园,2室2厅,97.89,宝山,中区/5层,朝南北,575,58739,2006年建
4924,逸仙二村,1室1厅,44.73,宝山,低区/7层,朝南北,243,54325,1995年建
4925,上大聚丰园,2室2厅,110.69,宝山,低区/11层,朝南,500,45171,2004年建
4926,逸仙二村,2室1厅,64.73,宝山,中区/6层,,358,55306,1995年建
4927,共富四村,3室2厅,135.39,宝山,中区/6层,朝南,562,41509,
4928,上大聚丰园,2室2厅,92.22,宝山,高区/6层,朝南北,450,48796,
4929,通河七村,1室1厅,52.01,宝山,低区/6层,朝南,248,47683,1995年建
4930,泗塘五村,1室1厅,43.34,宝山,低区/6层,朝南北,210,48454,1995年建
4931,永清二村,2室1厅,56.53,宝山,高区/6层,朝东南,225,39801,1993年建
4932,万科四季花城（公寓）,3室1厅,88.25,宝山,中区/11层,朝南北,420,47592,2009年建
4933,枫庭丽苑,3室2厅,126.59,宝山,低区/6层,朝南北,780,61616,
4934,嘉骏花苑,3室2厅,102.83,宝山,中区/5层,朝南北,580,56403,2002年建
4935,宝林新苑,3室1厅,114.27,宝山,低区/6层,朝南北,525,45943,1998年建
4936,世纪非凡怡园,2室2厅,77.1,宝山,低区/6层,朝南北,350,45395,2008年建
4937,海江新村,2室1厅,87.3,宝山,低区/10层,朝南,356,40778,1999年建
4938,大华公园世家康华苑,2室2厅,87.82,宝山,中区/6层,朝南北,535,60920,
4939,万科四季花城（公寓）,3室2厅,88.69,宝山,中区/11层,朝南北,430,48483,2008年建
4940,盛达家园,2室2厅,81.04,宝山,高区/6层,朝南北,430,53060,2005年建
4941,泗塘四村,1室1厅,41.27,宝山,中区/6层,朝南,230,55730,1988年建
4942,世纪非凡怡园,2室1厅,78.97,宝山,高区/6层,朝南北,390,49385,2008年建
4943,嘉骏花苑,3室2厅,89.56,宝山,低区/6层,朝南北,495,55270,2004年建
4944,聚丰景都,2室2厅,92.92,宝山,中区/11层,朝南北,490,52733,2009年建
4945,水岸蓝桥（公寓）,3室2厅,137.94,宝山,高区/10层,朝南,880,63795,2009年建
4946,康泰新城,3室2厅,115.41,宝山,高区/7层,朝南北,598,51815,1999年建
4947,旭辉依云湾（公寓）,3室2厅,92.65,宝山,中区/14层,朝南北,470,50728,2010年建
4948,宝林七村,2室1厅,39.63,宝山,高区/6层,朝南,180,45420,1992年建
4949,永清新村,2室1厅,58.3,宝山,高区/6层,朝南,225,38593,1987年建
4950,祁连欣苑,2室2厅,89.54,宝山,低区/6层,朝南北,430,48023,2003年建
4951,康泰新城,2室2厅,87.1,宝山,低区/6层,朝南北,450,51664,2001年建
4952,菊泉新城（菊泉街39弄）,2室1厅,83.38,宝山,低区/14层,朝南,350,41976,2005年建
4953,宝钢一村,2室1厅,49.35,宝山,低区/5层,朝南北,240,48632,1980年建
4954,共康八村,1室1厅,50.15,宝山,低区/6层,朝南,230,45862,
4955,玉华苑,3室2厅,116.11,宝山,低区/6层,朝南北,650,55981,
4956,祁连一村,2室1厅,66.69,宝山,高区/6层,朝南,290,43484,1994年建
4957,聚丰景都,3室2厅,130.76,宝山,高区/14层,朝南北,570,43591,
4958,海江公寓,2室2厅,120.58,宝山,低区/12层,朝南北,515,42710,2002年建
4959,宝林七村,2室2厅,75.86,宝山,低区/6层,朝南,300,39546,1995年建
4960,水岸蓝桥（公寓）,2室2厅,97.65,宝山,低区/9层,朝南北,630,64516,
4961,水岸蓝桥（公寓）,3室2厅,124.53,宝山,中区/14层,朝南北,880,70665,
4962,聚丰景都,2室2厅,56.28,宝山,高区/6层,朝南北,380,67519,2010年建
4963,美兰湖中华园,2室2厅,87.85,宝山,中区/6层,朝南北,410,46670,2011年建
4964,海尚明城,1室2厅,61.26,宝山,低区/18层,,265,43258,2008年建
4965,友谊家园,2室2厅,103.56,宝山,低区/13层,朝南北,420,40556,2006年建
4966,宝林八村,2室1厅,50.81,宝山,高区/6层,朝南北,235,46250,1993年建
4967,通河六村,2室1厅,59.7,宝山,高区/6层,朝南北,280,46901,1994年建
4968,中环国际公寓,3室2厅,126.02,宝山,低区/18层,朝南北,800,63481,2012年建
4969,长江路780弄,2室1厅,61.5,宝山,高区/7层,朝南北,260,42276,1988年建
4970,枫庭丽苑,3室2厅,100.41,宝山,低区/6层,朝南北,600,59755,
4971,中环国际公寓,2室2厅,83.79,宝山,中区/18层,朝南,536,63969,2012年建
4972,临江豪园,2室2厅,110.2,徐汇,高区/23层,朝西南,915,83030,
4973,俞三小区,2室1厅,71.94,徐汇,高区/6层,朝南,370,51431,1994年建
4974,裕德大厦,2室1厅,94,徐汇,中区/6层,朝南北,790,84042,1998年建
4975,裕德大厦,3室2厅,100.68,徐汇,高区/24层,朝南,885,87902,
4976,柿子湾小区,2室0厅,46.47,徐汇,中区/6层,朝南北,480,103292,1991年建
4977,东方曼哈顿,3室2厅,150.78,徐汇,中区/37层,朝南,1580,104788,
4978,圣骊家园,2室2厅,118.84,徐汇,高区/28层,朝西南,800,67317,2000年建
4979,宛平南路493弄,3室1厅,103.19,徐汇,低区/6层,朝南北,745,72196,1994年建
4980,零陵路350弄,2室1厅,53.47,徐汇,低区/6层,朝南,440,82289,1983年建
4981,钦州花苑,2室0厅,77.12,徐汇,中区/29层,朝南北,440,57053,1995年建
4982,徐汇馨苑,1室2厅,64.77,徐汇,低区/14层,朝南,550,84915,2010年建
4983,三江小区,2室0厅,54.44,徐汇,中区/6层,朝南北,385,70720,1994年建
4984,永福路147弄,1室1厅,39.2,徐汇,中区/5层,朝南,540,137755,
4985,乐山二村,2室0厅,47.88,徐汇,中区/7层,朝南北,390,81453,1988年建
4986,宛平南路268弄,2室1厅,57.23,徐汇,高区/7层,朝南北,430,75135,1989年建
4987,凯翔小区,2室1厅,70.66,徐汇,中区/18层,朝南,530,75007,
4988,漕溪四村,3室1厅,73.74,徐汇,中区/6层,朝南北,568,77027,1986年建
4989,天际花园,3室2厅,176.82,徐汇,低区/29层,朝南北,1550,87659,
4990,玉兰花苑,3室2厅,154.43,徐汇,中区/25层,朝东,1250,80942,
4991,中漕小区,1室1厅,51.45,徐汇,中区/8层,朝南,520,101068,
4992,田林五村,2室1厅,61.43,徐汇,高区/6层,朝南,365,59417,1987年建
4993,徐汇中凯城市之光,5室2厅,403.91,徐汇,低区/33层,朝南,5200,128741,2012年建
4994,武康路280弄（公房）,1室1厅,40.7,徐汇,中区/6层,朝南,460,113022,
4995,锦汇苑,2室2厅,94.26,徐汇,中区/29层,朝南,970,102906,
4996,万象园,2室1厅,83.58,徐汇,高区/7层,朝南,520,62215,1999年建
4997,天和苑,3室2厅,152.23,徐汇,中区/26层,朝南北,1330,87367,
4998,东方巴黎,3室2厅,127.45,徐汇,低区/37层,朝南北,1450,113770,
4999,四季园,3室2厅,142.48,徐汇,低区/30层,朝南北,1200,84222,
5000,冠生园路237弄,2室1厅,65.5,徐汇,高区/6层,朝南,450,68702,1989年建
5001,乐山六七村,1室0厅,38.28,徐汇,高区/7层,朝南,310,80982,1988年建
5002,正南花苑,3室2厅,113.73,徐汇,高区/6层,朝南北,770,67704,1999年建
5003,佳信徐汇公寓,2室2厅,103.8,徐汇,低区/20层,朝南,798,76878,
5004,梅陇七村,1室1厅,52.03,徐汇,高区/6层,朝南,280,53815,1993年建
5005,天龙苑,1室1厅,61.22,徐汇,低区/7层,朝南,418,68278,1997年建
5006,龙吴路410弄,1室0厅,34.12,徐汇,中区/6层,朝南,245,71805,1994年建
5007,裕德路66弄,1室0厅,28.72,徐汇,低区/7层,朝北,405,141016,1994年建
5008,汇京佳丽园,2室2厅,97.08,徐汇,低区/18层,朝南,750,77255,
5009,华东花苑,3室2厅,103.21,徐汇,高区/7层,朝南北,535,51836,1997年建
5010,高安路9弄,1室1厅,39.51,徐汇,高区/6层,朝南,500,126550,1981年建
5011,东方巴黎,2室2厅,86.79,徐汇,低区/37层,朝东南,1050,120981,
5012,钦州花苑,2室1厅,73.6,徐汇,中区/30层,朝南北,460,62500,1993年建
5013,千鹤小区,2室1厅,85.91,徐汇,中区/23层,朝南,600,69840,1998年建
5014,公安大楼（徐汇）,1室1厅,52.06,徐汇,低区/28层,朝南,580,111409,
5015,橡胶小区,1室1厅,48.33,徐汇,中区/24层,朝西南,380,78626,
5016,梦蝶苑,2室2厅,94.71,徐汇,高区/24层,朝南,728,76866,
5017,金桂苑（徐汇）,2室2厅,120.34,徐汇,高区/24层,朝南,800,66478,
5018,柿子湾小区,1室1厅,39.56,徐汇,中区/6层,朝南,395,99848,1991年建
5019,龙吴路13弄,2室1厅,60.21,徐汇,中区/6层,朝南北,435,72247,1989年建
5020,福华花苑,2室2厅,85.56,徐汇,高区/6层,朝南北,785,91748,
5021,时运大楼,1室1厅,56.36,徐汇,低区/17层,朝南,360,63875,1993年建
5022,天钥新村,1室1厅,38.01,徐汇,高区/6层,朝南北,280,73664,1984年建
5023,金谷园,3室2厅,141.48,徐汇,低区/18层,朝南北,890,62906,
5024,徐汇苑,4室2厅,190.06,徐汇,中区/30层,朝南,1700,89445,2003年建
5025,梅陇四村,1室1厅,55.36,徐汇,中区/20层,朝西南,330,59609,1995年建
5026,漕溪大楼,2室1厅,54.39,徐汇,中区/17层,朝,445,81816,
5027,兆丰帝景苑,1室1厅,57.22,徐汇,中区/26层,朝南,570,99615,
5028,吴东小区,1室1厅,40.2,徐汇,高区/6层,朝南,270,67164,1988年建
5029,武康路6弄,3室1厅,87.77,徐汇,高区/5层,朝南,920,104819,1983年建
5030,龙山新村,2室0厅,44.46,徐汇,高区/6层,朝南,303,68151,1988年建
5031,科苑新村,2室1厅,52.93,徐汇,高区/6层,朝南北,380,71792,1990年建
5032,玉兰花苑,2室2厅,118.59,徐汇,低区/25层,朝东,850,71675,
5033,东方巴黎,4室2厅,158.55,徐汇,高区/37层,朝南北,1750,110375,
5034,尚汇豪庭,4室2厅,184.39,徐汇,中区/28层,朝南北,1700,92195,
5035,长春小区,1室1厅,47.64,徐汇,中区/6层,朝南,330,69269,1994年建
5036,桂莘小区,2室2厅,40.44,徐汇,低区/6层,朝南,315,77893,1994年建
5037,田林新苑,2室1厅,80.4,徐汇,中区/28层,朝南北,600,74626,
5038,田林六村,1室1厅,39.31,徐汇,高区/6层,朝南,242,61561,1983年建
5039,钦州花苑,2室1厅,81.17,徐汇,低区/29层,朝南,405,49895,1995年建
5040,田林十四村,2室1厅,70.83,徐汇,低区/18层,朝东,445,62826,1993年建
5041,海波花苑,2室1厅,75.47,徐汇,高区/6层,朝南北,500,66251,1995年建
5042,汇宁花园,3室2厅,189.76,徐汇,高区/31层,朝南,1800,94856,
5043,天平小区,1室1厅,55.66,徐汇,低区/18层,朝南,590,106000,1995年建
5044,紫荆园,3室2厅,112.19,徐汇,中区/6层,朝南北,930,82895,1999年建
5045,徐汇苑,2室2厅,129.52,徐汇,低区/32层,朝南北,1000,77208,
5046,天平小区,2室0厅,53.83,徐汇,高区/20层,朝西南,533,99015,1995年建
5047,田林新苑,2室1厅,70.45,徐汇,低区/28层,朝南,485,68843,
5048,康宁坊,2室1厅,54.14,徐汇,低区/6层,朝南北,370,68341,1991年建
5049,杜鹃园,1室1厅,43.07,徐汇,中区/6层,朝南,330,76619,1990年建
5050,龙山新村,2室0厅,45.36,徐汇,中区/5层,朝南,340,74955,1979年建
5051,仪表新村,2室1厅,47.96,徐汇,高区/6层,朝南,360,75062,1981年建
5052,中山新村,2室1厅,44.42,徐汇,低区/6层,朝南北,350,78793,1988年建
5053,南天大楼,2室1厅,65.01,徐汇,中区/20层,朝南北,600,92293,
5054,鸿艺豪苑,2室2厅,127.09,徐汇,低区/29层,朝西南,1300,102289,
5055,新汇公寓,2室2厅,112.43,徐汇,低区/19层,朝南,885,78715,
5056,麦克花园（公寓）,3室2厅,116.67,徐汇,中区/5层,朝南北,770,65998,1995年建
5057,龙山新村,2室0厅,47.84,徐汇,高区/6层,朝南北,332,69397,1983年建
5058,汇宁花园,3室2厅,226.42,徐汇,中区/31层,朝南,2050,90539,
5059,仪表新村,2室0厅,44.16,徐汇,中区/6层,朝南北,370,83786,1995年建
5060,番南小区,1室1厅,49.23,徐汇,高区/7层,朝南,425,86329,1994年建
5061,南丹小区,1室1厅,40.07,徐汇,中区/7层,朝南,385,96081,1994年建
5062,杜鹃园,1室1厅,42.93,徐汇,低区/6层,朝南,340,79198,1992年建
5063,天平路36弄,2室1厅,62.14,徐汇,中区/6层,朝南,635,102188,1977年建
5064,花苑村紫竹园,2室1厅,59.87,徐汇,低区/6层,朝南,385,64305,1990年建
5065,福苑小区,1室1厅,50.35,徐汇,中区/18层,,342,67924,1990年建
5066,三江小区,2室1厅,63.76,徐汇,中区/6层,朝南,500,78419,1994年建
5067,桂平小区,2室1厅,66.93,徐汇,高区/6层,朝南,440,65740,
5068,澳龙公寓,2室2厅,102.97,徐汇,中区/24层,朝南,800,77692,
5069,月季园（徐汇）,3室1厅,115.7,徐汇,低区/6层,朝南,690,59636,1989年建
5070,漕溪大楼,2室1厅,54.71,徐汇,低区/17层,朝南,438,80058,
5071,龙南五村,2室1厅,67.68,徐汇,低区/6层,朝南,395,58362,1994年建
5072,花苑茶花园,1室1厅,41.59,徐汇,中区/6层,朝南,295,70930,1993年建
5073,田林十二村,1室0厅,31.95,徐汇,低区/6层,朝南,280,87636,1985年建
5074,吴东小区,3室1厅,81,徐汇,低区/6层,朝南,566,69876,1991年建
5075,虹梅南路96弄,1室1厅,50.18,徐汇,高区/6层,朝南,280,55799,1994年建
5076,寿祥坊,1室0厅,33.72,徐汇,高区/6层,朝南,268,79478,1993年建
5077,金谷园,3室2厅,143.78,徐汇,高区/18层,朝南,920,63986,
5078,梅陇七村,1室1厅,54.46,徐汇,中区/6层,朝南,320,58758,1993年建
5079,龙山新村,1室1厅,36.68,徐汇,低区/6层,朝南,270,73609,1978年建
5080,乐山八九村,2室1厅,66.8,徐汇,低区/20层,朝东南,500,74850,
5081,田林十四村,2室0厅,55.53,徐汇,低区/18层,朝南,406,73113,1991年建
5082,华龙新苑小区,2室1厅,66.9,徐汇,低区/6层,朝南,480,71748,
5083,宏伟阁,2室2厅,92.01,徐汇,高区/20层,朝东南,625,67927,
5084,华利公寓,2室1厅,107.59,徐汇,低区/28层,朝南,580,53908,
5085,申航小区,2室1厅,44.21,徐汇,中区/5层,朝南,348,78715,1980年建
5086,橡胶小区,1室1厅,47.61,徐汇,低区/24层,朝南,380,79815,
5087,丰三小区,1室1厅,43.33,徐汇,高区/6层,朝南,285,65774,1994年建
5088,康强坊,2室1厅,60.24,徐汇,中区/4层,朝南北,399,66235,1993年建
5089,日晖二村,1室1厅,50.07,徐汇,高区/5层,朝南,310,61913,1954年建
5090,番南小区,2室1厅,52.01,徐汇,低区/6层,朝南北,440,84599,1985年建
5091,东安花苑,3室2厅,125.72,徐汇,低区/7层,朝南北,760,60451,1996年建
5092,钦州花苑,2室1厅,74.37,徐汇,低区/29层,朝南北,405,54457,
5093,康宁坊,4室2厅,146.42,徐汇,低区/6层,朝南,820,56003,1998年建
5094,恒昌花园,2室2厅,101.71,徐汇,高区/26层,朝北,680,66856,1997年建
5095,紫阳花苑,2室1厅,87.2,徐汇,高区/6层,朝南,370,42431,1996年建
5096,田林十一村,2室1厅,56.69,徐汇,低区/6层,朝南北,450,79379,1988年建
5097,大木小区,1室1厅,45.32,徐汇,高区/6层,朝南北,350,77228,1983年建
5098,文南公寓,2室1厅,78.88,徐汇,中区/18层,朝西南,670,84939,
5099,龙南七村,2室1厅,76.38,徐汇,低区/6层,朝南,480,62843,1993年建
5100,斜土路1220号,2室2厅,68.64,徐汇,中区/7层,朝南北,528,76923,1985年建
5101,谨斜小区,3室2厅,104.92,徐汇,中区/7层,朝南,780,74342,2000年建
5102,东方曼哈顿,3室2厅,129.79,徐汇,低区/37层,,1650,127128,
5103,龙南六村,1室1厅,53.33,徐汇,中区/7层,朝南,350,65629,1996年建
5104,凌云新村,2室1厅,68.32,徐汇,高区/6层,朝南,418,61182,1994年建
5105,清枫大楼,1室0厅,38.98,徐汇,高区/16层,朝西北,320,82093,1991年建
5106,健安坊,1室1厅,57.52,徐汇,高区/6层,朝南,360,62586,1994年建
5107,华富小区,2室1厅,47.6,徐汇,高区/7层,朝南,350,73529,1995年建
5108,田林四村,2室0厅,46.61,徐汇,高区/6层,朝南,305,65436,1983年建
5109,凯华公寓,3室2厅,133.96,徐汇,高区/6层,朝南,945,70543,
5110,兴国苑,2室2厅,118.17,徐汇,中区/11层,朝南,1150,97317,1994年建
5111,长桥一村,1室0厅,48.5,徐汇,高区/16层,朝南,385,79381,1994年建
5112,兆丰帝景苑,3室2厅,157.89,徐汇,中区/28层,朝南北,1420,89936,
5113,宛南六村,1室0厅,35.08,徐汇,中区/6层,朝南,268,76396,1980年建
5114,钦州花苑,1室2厅,77.12,徐汇,低区/29层,朝南,470,60943,1995年建
5115,乐山二村,2室0厅,47.88,徐汇,中区/7层,朝南北,390,81453,1989年建
5116,梅陇七村,2室1厅,61.54,徐汇,中区/6层,朝南北,369,59961,1993年建
5117,尚海湾豪庭,3室2厅,174,徐汇,高区/36层,朝南,1650,94827,2009年建
5118,薛家宅小区,2室1厅,52.06,徐汇,低区/7层,朝南北,389,74721,1996年建
